Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Ottho Heldringstraat;202;P;1066 AZ;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 975;€ 10;€ 975;Per maand;nee;9-7-2019;9-7-2019;;24-7-2019;24-7-2019;24-7-2019;;;;16;102;266;;6;5;14;;2009;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 975;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Eva Besnyostraat;264;;1087 LM;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 980;€ 10;€ 980;Per maand;nee;11-6-2019;21-6-2019;;21-6-2019;21-6-2019;21-6-2019;;;;11;100;250;;4;6;10;;2008;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 980;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Eva Besnyostraat;342;;1087 LM;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 995;€ 10;€ 995;Per maand;nee;15-5-2019;20-5-2019;;5-6-2019;4-6-2019;4-6-2019;;;;21;97;252;;3;7;10;;2008;3;2;Appartement;;bovenwoning;;;;A;1.05;1-6-2027;Verhuurd;;in overleg;0;€ 995;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
IJburglaan;1100;;1087 JK;AMSTERDAM;Rebo Vastgoedmanagement B.V Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 995;€ 15;€ 995;Per maand;nee;3-7-2019;;;15-7-2019;15-7-2019;15-7-2019;;;;13;65;169;;;6;;;;3;2;Appartement;;portiekflat;;;;;;;Verhuurd;;direct;0;€ 995;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Nieuwe Oostenburgerstraat;16;#NAME?;1018 MK;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 1,005;€ 15;€ 1,005;Per maand;nee;19-6-2019;;;5-7-2019;5-7-2019;5-7-2019;;;;17;69;173;;;12;6;;1874;3;2;Appartement;;bovenwoning;;;;B;1.3;14-11-2021;Verhuurd;;in overleg;0;€ 1,005;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Van der Helstplein;13;2;1073 AR;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 1,005;€ 13;€ 1,005;Per maand;nee;9-7-2019;9-7-2019;;17-7-2019;17-7-2019;17-7-2019;;;;9;75;188;;;20;7;41;1920;3;1;Appartement;;bovenwoning;;;;E;2.24;9-7-2022;Verhuurd;;in overleg;0;€ 1,005;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Nieuwe Oostenburgerstraat;16;-C;1018 MK;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 1,005;€ 15;€ 1,005;Per maand;nee;9-7-2019;9-7-2019;;19-7-2019;18-7-2019;18-7-2019;;;;10;69;173;;;12;6;;1874;3;2;Appartement;;bovenwoning;;;;B;1.3;24-11-2021;Verhuurd;;in overleg;0;€ 1,005;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;176;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,035;€ 21;€ 1,035;Per maand;nee;2-5-2019;;;27-6-2019;27-6-2019;27-6-2019;1-10-2019;;;57;49;124;;;;9;53;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,035;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Leuvenstraat;15;;1066 DZ;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 1,035;€ 10;€ 1,035;Per maand;nee;7-5-2019;;;10-7-2019;10-7-2019;10-7-2019;10-7-2019;;;65;100;260;;;;;;1993;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 1,035;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;190;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,045;€ 21;€ 1,045;Per maand;nee;2-5-2019;;;27-6-2019;27-6-2019;27-6-2019;1-10-2019;;;57;49;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,045;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;270;;1061 BS;Amsterdam;Wooove B.V. ;;In verhuur genomen; € - ;; € - ;€ 1,055;€ 19;€ 1,055;Per maand;nee;9-4-2019;;;23-5-2019;23-5-2019;23-5-2019;23-5-2019;;;45;56;146;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;in overleg;0;€ 1,055;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;182;;1061 BS;Amsterdam;Wooove B.V. ;;In verhuur genomen; € - ;; € - ;€ 1,055;€ 17;€ 1,055;Per maand;nee;23-5-2019;;;20-6-2019;20-6-2019;20-6-2019;20-6-2019;;;29;61;159;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;in overleg;0;€ 1,055;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;174;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,065;€ 20;€ 1,065;Per maand;nee;2-5-2019;;;27-6-2019;27-6-2019;27-6-2019;1-10-2019;;;57;53;124;;;;9;53;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,065;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Liendenhof;76;;1108 HC;Amsterdam;Van 't Hof Rijnland Vastgoedmanagement ;079-3296666;In verhuur genomen; € - ;; € - ;€ 1,070;€ 15;€ 1,070;Per maand;nee;26-4-2019;;;16-7-2019;20-6-2019;20-6-2019;1-7-2019;;;56;72;186;;;6;;;1980;3;2;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,070;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;188;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,075;€ 20;€ 1,075;Per maand;nee;2-5-2019;;;3-7-2019;3-7-2019;3-7-2019;1-10-2019;;;63;53;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,075;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;256;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,075;€ 21;€ 1,075;Per maand;nee;2-5-2019;;;27-6-2019;27-6-2019;27-6-2019;1-10-2019;;;57;51;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,075;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dr. H. Colijnstraat;783;;1067 CE;AMSTERDAM;Livy. De internet makelaar ;0800-2355489;In verhuur genomen; € - ;; € - ;€ 1,082;€ 13;€ 1,082;Per maand;nee;18-7-2019;;;14-8-2019;14-8-2019;14-8-2019;;;;28;86;215;;;;;;;2;1;Appartement;;galerijflat;;;;;;;Verhuurd;;in overleg;0;€ 1,082;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;258;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,085;€ 21;€ 1,085;Per maand;nee;2-5-2019;;;28-6-2019;28-6-2019;28-6-2019;1-10-2019;;;58;51;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,085;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;270;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,085;€ 21;€ 1,085;Per maand;nee;2-5-2019;;;3-7-2019;3-7-2019;3-7-2019;1-10-2019;;;63;51;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,085;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Koningin Wilhelminaplein;714;;1062 KS;Amsterdam;Wooove B.V. ;;In verhuur genomen; € - ;; € - ;€ 1,085;€ 17;€ 1,085;Per maand;nee;25-7-2019;25-7-2019;;25-7-2019;25-7-2019;25-7-2019;25-7-2019;;;1;64;166;;1;;;;2015;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,085;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Postjesweg;272;;1061 AX;Amsterdam;Van der Linden ;;In verhuur genomen; € - ;; € - ;€ 1,095;€ 21;€ 1,095;Per maand;nee;2-5-2019;;;27-6-2019;27-6-2019;27-6-2019;1-10-2019;;;57;51;124;;;;9;;2019;2;1;Appartement;;portiekwoning;;;;;;;Verhuurd;;in overleg;1;€ 1,085;€ 1,095;2-5-2019;€ -10;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;6;;1061 BS;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 1,014;€ 20;€ 1,095;Per maand;nee;23-5-2019;;;17-6-2019;31-5-2019;31-5-2019;1-6-2019;;;9;50;125;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,095;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;18;;1061 BS;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 1,329;€ 23;€ 1,095;Per maand;nee;23-5-2019;;;17-6-2019;14-6-2019;14-6-2019;1-7-2019;;;23;59;147;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,095;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;60;;1061 BS;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 700;€ 12;€ 1,095;Per maand;nee;23-5-2019;;;19-6-2019;19-6-2019;19-6-2019;1-7-2019;;;28;57;142;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,095;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;68;;1061 BS;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 1,095;€ 23;€ 1,095;Per maand;nee;23-5-2019;;;19-6-2019;18-6-2019;18-6-2019;1-7-2019;;;27;48;120;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,095;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;226;;1061 BS;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 1,095;€ 16;€ 1,095;Per maand;nee;23-5-2019;;;17-6-2019;31-5-2019;31-5-2019;1-6-2019;;;9;69;172;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 1,095;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Fritz Dietrich Kahlenbergstraat;77;;1087 LL;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 1,100;€ 12;€ 1,100;Per maand;nee;5-6-2019;;;21-6-2019;20-6-2019;20-6-2019;;;;16;92;239;;2;9;12;;2009;3;2;Appartement;;bovenwoning;;;;B;1.15;15-1-2028;Verhuurd;;in overleg;0;€ 1,100;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
